timestamp_et,user,club,query,table_used,completeness,first_table_used,second_table_used,third_table_used,fourth_table_used,fifth_table_used,sixth_table_used,table_used_num,data_environment
"Apr 29, 2025, 2:13 AM",fcc6bdfa2478044844dd6c288090e1affc17cf29041028bade3db195fffd0909,Pip,"SELECT individual_id, nfl_fan_id, club_golden_record_id from fulfillment_ptc.ptc_mapping  order by club_golden_record_id asc",mapping,1,mapping,,,,,,1,gridiron
"Apr 29, 2025, 2:12 AM",919eb589fc71989fa28acce0953b40dcf8a0d383d351547bec1cb8d88a0108cc,Charlie,SELECT DISTINCT COUNT(dnb.three_digit_naics_description) FROM fulfillment_ptc.ptc_b2b dnb ORDER BY 1 DESC,b2b,1,b2b,,,,,,1,gridiron
"Apr 29, 2025, 2:12 AM",919eb589fc71989fa28acce0953b40dcf8a0d383d351547bec1cb8d88a0108cc,Charlie,SELECT DISTINCT COUNT(dnb.five_digit_naics_description) FROM fulfillment_ptc.ptc_b2b dnb ORDER BY 1 DESC,b2b,1,b2b,,,,,,1,gridiron
"Apr 29, 2025, 2:10 AM",919eb589fc71989fa28acce0953b40dcf8a0d383d351547bec1cb8d88a0108cc,Charlie,SELECT DISTINCT dnb.five_digit_naics_description FROM fulfillment_ptc.ptc_b2b dnb ORDER BY 1 DESC,b2b,1,b2b,,,,,,1,gridiron
"Apr 29, 2025, 2:10 AM",919eb589fc71989fa28acce0953b40dcf8a0d383d351547bec1cb8d88a0108cc,Charlie,SELECT DISTINCT skill1 FROM fulfillment_ptc.ptc_b2b dnb ORDER BY 1 DESC,b2b,1,b2b,,,,,,1,gridiron
"Apr 29, 2025, 2:00 AM",919eb589fc71989fa28acce0953b40dcf8a0d383d351547bec1cb8d88a0108cc,Charlie,SELECT DISTINCT skill1 FROM fulfillment_ptc.ptc_b2b dnb,b2b,1,b2b,,,,,,1,gridiron
"Apr 29, 2025, 1:46 AM",fcc6bdfa2478044844dd6c288090e1affc17cf29041028bade3db195fffd0909,Pip,"SELECT individual_id, nfl_fan_id, club_golden_record_id from fulfillment_ptc.ptc_mapping",mapping,1,mapping,,,,,,1,gridiron
"Apr 29, 2025, 1:43 AM",fcc6bdfa2478044844dd6c288090e1affc17cf29041028bade3db195fffd0909,Pip,SELECT * from fulfillment_ptc.ptc_fan_league_email_detail,fan_league_email_detail,1,fan_league_email_detail,,,,,,1,gridiron
"Apr 29, 2025, 12:12 PM",d82de73bc19bacfa83d019ce4b006b9192fa1ad82dfc397b140a6a5c459c8a9e,Nebula,"select order_id, sum( unit_price_amount*item_sold_quantity) as total_amount,  avg(total_discount_amount) as total_discount_amount, avg(total_shipping_cost_amount) as shipping_cost, avg(total_tax_amount) as tax_amount, avg(total_transaction_amount) as total_transation_amount, avg(total_transaction_amount_excluding_shipping) as transaction_amount_excl_ship, avg(total_transaction_amount_excluding_tax) as transaction_amount_excl_tx from fulfillment_ptc.ptc_fan_merchandise_transaction_detail where date(order_timestamp) = date('2025-03-20') and platform_name = 'NFL Shop' and order_id in ( '365-4204-6587','279-5760-5182','279-5761-4218','279-5761-5625','365-4205-6453')      group by order_id",fan_merchandise_transaction_detail,1,fan_merchandise_transaction_detail,,,,,,1,gridiron
"Apr 29, 2025, 12:12 PM",d82de73bc19bacfa83d019ce4b006b9192fa1ad82dfc397b140a6a5c459c8a9e,Nebula,"select order_id, sum( unit_price_amount*item_sold_quantity) as total_amount, sum(discount_amount) as total_st_discount_amount, avg(total_discount_amount) as total_discount_amount, avg(total_shipping_cost_amount) as shipping_cost, avg(total_tax_amount) as tax_amount, avg(total_transaction_amount) as total_transation_amount, avg(total_transaction_amount_excluding_shipping) as transaction_amount_excl_ship, avg(total_transaction_amount_excluding_tax) as transaction_amount_excl_tx from fulfillment_ptc.ptc_fan_merchandise_transaction_detail where date(order_timestamp) = date('2025-03-20') and platform_name = 'NFL Shop' and order_id in ( '365-4204-6587','279-5760-5182','279-5761-4218','279-5761-5625','365-4205-6453')      group by order_id",fan_merchandise_transaction_detail,1,fan_merchandise_transaction_detail,,,,,,1,gridiron
"Apr 29, 2025, 12:06 PM",919eb589fc71989fa28acce0953b40dcf8a0d383d351547bec1cb8d88a0108cc,Charlie,SELECT COUNT(*) FROM fulfillment_ptc.ptc_b2b dnb WHERE dnb.company_name LIKE '%Cisco%',b2b,1,b2b,,,,,,1,gridiron
"Apr 29, 2025, 12:05 PM",919eb589fc71989fa28acce0953b40dcf8a0d383d351547bec1cb8d88a0108cc,Charlie,SELECT * FROM fulfillment_ptc.ptc_b2b dnb WHERE dnb.company_name LIKE '%Cisco%',b2b,1,b2b,,,,,,1,gridiron
"Apr 29, 2025, 12:05 PM",919eb589fc71989fa28acce0953b40dcf8a0d383d351547bec1cb8d88a0108cc,Charlie,SELECT * FROM fulfillment_ptc.ptc_b2b dnb WHERE dnb.company_name LIKE '%Acronis%',b2b,1,b2b,,,,,,1,gridiron
